DDCId,ObjectType,ObjectId,EqpType,EqpId,ParamName,ParamFullName,GLCode
DDC01,binaryOutput,140,A0,04,cmd_on_off_00,AHU-NCR-04 On/Off Command,GL 13 00 04 A0 0 00A
DDC01,binaryOutput,141,A0,04,cmd_on_off_00,AHU-NCR-04 On/Off Status,GL 13 00 04 A0 0 001
DDC01,analogValue,142,BA,01,cmd_evap_leaving_temp_00,CH-01 Evap Leaving Temp Set Point,GL 14 00 01 BA 0 009
DDC01,analogValue,143,BA,01,sts_evap_leaving_temp_00,CH-01 Evap Leaving Temp ,GL 14 00 01 BA 0 00A
DDC01,analogValue,144,BA,01,par_evap_entering_temp_00,CH-01 Evap Entering Temp ,GL 14 00 01 BA 0 00B
DDC01,analogValue,145,BA,01,par_comp_percent_load_00,CH-01 % FLA / % RLA,GL 14 00 01 BA 0 00D
DDC01,analogValue,146,BA,01,par_comp_percent_load_01,CH-01 C1 % Load ,GL 14 00 01 BA 0 00E
DDC01,analogValue,147,BA,01,par_comp_percent_load_02,CH-01 C2 % Load ,GL 14 00 01 BA 0 00F
DDC01,analogValue,148,BA,01,par_suction_pressure_01,CH-01 C1 Evaporator Pressure,GL 14 00 01 BA 0 010
DDC01,analogValue,149,BA,01,par_suction_pressure_02,CH-01 C2 Evaporator Pressure,GL 14 00 01 BA 0 011
DDC01,analogValue,150,BA,01,par_discharge_pressure_01,CH-01 C1 Condensor Pressure,GL 14 00 01 BA 0 012
DDC01,analogValue,151,BA,01,par_discharge_pressure_02,CH-01 C2 Condensor Pressure,GL 14 00 01 BA 0 013
DDC01,analogValue,152,BA,01,par_suction_temperature_01,CH-01 C1 Suction Temperature,GL 14 00 01 BA 0 014
DDC01,analogValue,153,BA,01,par_suction_temperature_02,CH-01 C2 Suction Temperature,GL 14 00 01 BA 0 015
DDC01,analogValue,154,BA,01,par_discharge_temperature_01,CH-01 C1 Discharge Temperature,GL 14 00 01 BA 0 016
DDC01,analogValue,155,BA,01,par_discharge_temperature_02,CH-01 C2 Discharge Temperature,GL 14 00 01 BA 0 017
DDC01,analogValue,156,BA,01,par_comp_run_hrs_01,CH-01 C1 Run Hours,GL 14 00 01 BA 0 018
DDC01,analogValue,157,BA,01,par_comp_run_hrs_02,CH-01 C2 Run Hours,GL 14 00 01 BA 0 019
DDC01,analogValue,158,BA,01,par_comp_oil_pressure_01,CH-01 C1 Oil Pressure,GL 14 00 01 BA 0 01A
DDC01,analogValue,159,BA,01,par_comp_oil_pressure_02,CH-01 C2 Oil Pressure,GL 14 00 01 BA 0 01B
DDC01,analogValue,160,BA,01,par_exv_01,CH-01 C1 Exv,GL 14 00 01 BA 0 01C
DDC01,analogValue,161,BA,01,par_exv_02,CH-01 C2 Exv,GL 14 00 01 BA 0 01D
DDC01,analogValue,162,BA,01,par_avg_current_00,CH-01 Chiller Current,GL 14 00 01 BA 0 01E
DDC01,analogValue,163,BA,01,alm_fault_00,CH-01 Fault Code,GL 14 00 01 BA A 01F
DDC01,analogValue,164,BA,02,cmd_evap_leaving_temp_00,CH-02 Evap Leaving Temp Set Point,GL 14 00 02 BA 0 009
DDC01,analogValue,165,BA,02,sts_evap_leaving_temp_00,CH-02 Evap Leaving Temp ,GL 14 00 02 BA 0 00A
DDC01,analogValue,166,BA,02,par_evap_entering_temp_00,CH-02 Evap Entering Temp ,GL 14 00 02 BA 0 00B
DDC01,analogValue,167,BA,02,par_comp_percent_load_00,CH-02 % FLA / % RLA,GL 14 00 02 BA 0 00D
DDC01,analogValue,168,BA,02,par_comp_percent_load_01,CH-02 C1 % Load ,GL 14 00 02 BA 0 00E
DDC01,analogValue,169,BA,02,par_comp_percent_load_02,CH-02 C2 % Load ,GL 14 00 02 BA 0 00F
DDC01,analogValue,170,BA,02,par_suction_pressure_01,CH-02 C1 Evaporator Pressure,GL 14 00 02 BA 0 010
DDC01,analogValue,171,BA,02,par_suction_pressure_02,CH-02 C2 Evaporator Pressure,GL 14 00 02 BA 0 011
